params,score,iteration
"{'fast_period': 14, 'slow_period': 29, 'rsi_period': 17, 'rsi_overbought': 69, 'rsi_oversold': 39, 'atr_stop_multiplier': 2.75, 'risk_reward_ratio': 2.0}",0.0,16
"{'fast_period': 8, 'slow_period': 49, 'rsi_period': 17, 'rsi_overbought': 76, 'rsi_oversold': 25, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 2.5}",0.0,17
"{'fast_period': 10, 'slow_period': 40, 'rsi_period': 18, 'rsi_overbought': 73, 'rsi_oversold': 36, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 2.0}",0.0,18
"{'fast_period': 5, 'slow_period': 49, 'rsi_period': 15, 'rsi_overbought': 62, 'rsi_oversold': 29, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 3.0}",0.0,19
"{'fast_period': 17, 'slow_period': 45, 'rsi_period': 19, 'rsi_overbought': 63, 'rsi_oversold': 28, 'atr_stop_multiplier': 2.75, 'risk_reward_ratio': 2.75}",0.0,20
"{'fast_period': 14, 'slow_period': 24, 'rsi_period': 20, 'rsi_overbought': 73, 'rsi_oversold': 39, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 3.0}",0.0,21
"{'fast_period': 15, 'slow_period': 47, 'rsi_period': 19, 'rsi_overbought': 64, 'rsi_oversold': 31, 'atr_stop_multiplier': 3.0, 'risk_reward_ratio': 2.0}",0.0,22
"{'fast_period': 15, 'slow_period': 34, 'rsi_period': 12, 'rsi_overbought': 80, 'rsi_oversold': 32, 'atr_stop_multiplier': 3.0, 'risk_reward_ratio': 2.5}",0.0,23
"{'fast_period': 12, 'slow_period': 30, 'rsi_period': 20, 'rsi_overbought': 70, 'rsi_oversold': 27, 'atr_stop_multiplier': 3.0, 'risk_reward_ratio': 2.5}",0.0,24
"{'fast_period': 10, 'slow_period': 42, 'rsi_period': 11, 'rsi_overbought': 69, 'rsi_oversold': 24, 'atr_stop_multiplier': 3.0, 'risk_reward_ratio': 1.5}",0.0,25
"{'fast_period': 18, 'slow_period': 22, 'rsi_period': 13, 'rsi_overbought': 68, 'rsi_oversold': 33, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 3.0}",0.0,26
"{'fast_period': 10, 'slow_period': 31, 'rsi_period': 14, 'rsi_overbought': 75, 'rsi_oversold': 28, 'atr_stop_multiplier': 3.0, 'risk_reward_ratio': 3.25}",0.0,27
"{'fast_period': 9, 'slow_period': 29, 'rsi_period': 16, 'rsi_overbought': 66, 'rsi_oversold': 25, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 2.0}",0.0,28
"{'fast_period': 7, 'slow_period': 44, 'rsi_period': 20, 'rsi_overbought': 60, 'rsi_oversold': 22, 'atr_stop_multiplier': 1.5, 'risk_reward_ratio': 2.5}",0.0,29
"{'fast_period': 17, 'slow_period': 28, 'rsi_period': 12, 'rsi_overbought': 73, 'rsi_oversold': 31, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 3.25}",0.0,30
"{'fast_period': 8, 'slow_period': 32, 'rsi_period': 19, 'rsi_overbought': 61, 'rsi_oversold': 29, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 2.0}",0.0,31
"{'fast_period': 12, 'slow_period': 38, 'rsi_period': 15, 'rsi_overbought': 72, 'rsi_oversold': 35, 'atr_stop_multiplier': 2.75, 'risk_reward_ratio': 2.25}",0.0,32
"{'fast_period': 14, 'slow_period': 39, 'rsi_period': 11, 'rsi_overbought': 71, 'rsi_oversold': 36, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 1.75}",0.0,33
"{'fast_period': 5, 'slow_period': 28, 'rsi_period': 18, 'rsi_overbought': 75, 'rsi_oversold': 36, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 2.25}",0.0,34
"{'fast_period': 16, 'slow_period': 38, 'rsi_period': 15, 'rsi_overbought': 62, 'rsi_oversold': 33, 'atr_stop_multiplier': 1.5, 'risk_reward_ratio': 2.25}",0.0,35
"{'fast_period': 14, 'slow_period': 43, 'rsi_period': 12, 'rsi_overbought': 77, 'rsi_oversold': 21, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 3.0}",0.0,36
"{'fast_period': 11, 'slow_period': 24, 'rsi_period': 15, 'rsi_overbought': 65, 'rsi_oversold': 32, 'atr_stop_multiplier': 1.5, 'risk_reward_ratio': 2.5}",0.0,37
"{'fast_period': 7, 'slow_period': 21, 'rsi_period': 14, 'rsi_overbought': 62, 'rsi_oversold': 26, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 3.25}",0.0,38
"{'fast_period': 5, 'slow_period': 26, 'rsi_period': 12, 'rsi_overbought': 69, 'rsi_oversold': 38, 'atr_stop_multiplier': 1.5, 'risk_reward_ratio': 1.5}",0.0,39
"{'fast_period': 10, 'slow_period': 29, 'rsi_period': 16, 'rsi_overbought': 78, 'rsi_oversold': 23, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 3.5}",0.0,40
"{'fast_period': 6, 'slow_period': 36, 'rsi_period': 18, 'rsi_overbought': 70, 'rsi_oversold': 38, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 3.0}",0.0,41
"{'fast_period': 9, 'slow_period': 26, 'rsi_period': 10, 'rsi_overbought': 79, 'rsi_oversold': 37, 'atr_stop_multiplier': 2.75, 'risk_reward_ratio': 3.0}",0.0,42
"{'fast_period': 6, 'slow_period': 30, 'rsi_period': 11, 'rsi_overbought': 71, 'rsi_oversold': 21, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 2.75}",0.0,43
"{'fast_period': 12, 'slow_period': 27, 'rsi_period': 18, 'rsi_overbought': 80, 'rsi_oversold': 32, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 2.5}",0.0,44
"{'fast_period': 15, 'slow_period': 40, 'rsi_period': 13, 'rsi_overbought': 77, 'rsi_oversold': 24, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 2.25}",0.0,45
"{'fast_period': 16, 'slow_period': 33, 'rsi_period': 16, 'rsi_overbought': 61, 'rsi_oversold': 30, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 2.0}",0.0,46
"{'fast_period': 11, 'slow_period': 22, 'rsi_period': 14, 'rsi_overbought': 75, 'rsi_oversold': 23, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 3.25}",0.0,47
"{'fast_period': 15, 'slow_period': 39, 'rsi_period': 13, 'rsi_overbought': 66, 'rsi_oversold': 31, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 1.75}",0.0,48
"{'fast_period': 18, 'slow_period': 50, 'rsi_period': 11, 'rsi_overbought': 64, 'rsi_oversold': 31, 'atr_stop_multiplier': 2.75, 'risk_reward_ratio': 3.0}",0.0,49
"{'fast_period': 8, 'slow_period': 25, 'rsi_period': 13, 'rsi_overbought': 76, 'rsi_oversold': 24, 'atr_stop_multiplier': 2.75, 'risk_reward_ratio': 1.75}",0.0,50
"{'fast_period': 9, 'slow_period': 41, 'rsi_period': 13, 'rsi_overbought': 78, 'rsi_oversold': 38, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 3.5}",0.0,51
"{'fast_period': 12, 'slow_period': 21, 'rsi_period': 17, 'rsi_overbought': 72, 'rsi_oversold': 20, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 2.75}",0.0,52
"{'fast_period': 7, 'slow_period': 43, 'rsi_period': 17, 'rsi_overbought': 67, 'rsi_oversold': 33, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 3.5}",0.0,53
"{'fast_period': 9, 'slow_period': 46, 'rsi_period': 18, 'rsi_overbought': 66, 'rsi_oversold': 23, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 2.75}",0.0,54
"{'fast_period': 16, 'slow_period': 31, 'rsi_period': 14, 'rsi_overbought': 77, 'rsi_oversold': 34, 'atr_stop_multiplier': 2.75, 'risk_reward_ratio': 2.25}",0.0,55
"{'fast_period': 11, 'slow_period': 37, 'rsi_period': 14, 'rsi_overbought': 65, 'rsi_oversold': 37, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 1.75}",0.0,56
"{'fast_period': 19, 'slow_period': 23, 'rsi_period': 18, 'rsi_overbought': 76, 'rsi_oversold': 29, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 1.75}",0.0,57
"{'fast_period': 14, 'slow_period': 33, 'rsi_period': 15, 'rsi_overbought': 71, 'rsi_oversold': 26, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 2.5}",0.0,58
"{'fast_period': 13, 'slow_period': 32, 'rsi_period': 10, 'rsi_overbought': 63, 'rsi_oversold': 25, 'atr_stop_multiplier': 1.5, 'risk_reward_ratio': 2.75}",0.0,59
"{'fast_period': 18, 'slow_period': 34, 'rsi_period': 14, 'rsi_overbought': 68, 'rsi_oversold': 21, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 1.75}",0.0,60
"{'fast_period': 20, 'slow_period': 34, 'rsi_period': 18, 'rsi_overbought': 70, 'rsi_oversold': 35, 'atr_stop_multiplier': 3.0, 'risk_reward_ratio': 1.75}",0.0,61
"{'fast_period': 16, 'slow_period': 37, 'rsi_period': 19, 'rsi_overbought': 76, 'rsi_oversold': 40, 'atr_stop_multiplier': 2.75, 'risk_reward_ratio': 2.0}",0.0,62
"{'fast_period': 18, 'slow_period': 41, 'rsi_period': 16, 'rsi_overbought': 67, 'rsi_oversold': 22, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 1.75}",0.0,63
"{'fast_period': 17, 'slow_period': 47, 'rsi_period': 10, 'rsi_overbought': 78, 'rsi_oversold': 21, 'atr_stop_multiplier': 1.5, 'risk_reward_ratio': 3.5}",0.0,64
"{'fast_period': 20, 'slow_period': 46, 'rsi_period': 11, 'rsi_overbought': 64, 'rsi_oversold': 33, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 2.75}",0.0,65
"{'fast_period': 13, 'slow_period': 21, 'rsi_period': 12, 'rsi_overbought': 71, 'rsi_oversold': 33, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 2.25}",0.0,66
"{'fast_period': 7, 'slow_period': 39, 'rsi_period': 18, 'rsi_overbought': 65, 'rsi_oversold': 34, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 3.5}",0.0,67
"{'fast_period': 11, 'slow_period': 42, 'rsi_period': 13, 'rsi_overbought': 67, 'rsi_oversold': 27, 'atr_stop_multiplier': 2.75, 'risk_reward_ratio': 2.5}",0.0,68
"{'fast_period': 10, 'slow_period': 20, 'rsi_period': 16, 'rsi_overbought': 61, 'rsi_oversold': 22, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 2.25}",0.0,69
"{'fast_period': 13, 'slow_period': 49, 'rsi_period': 15, 'rsi_overbought': 75, 'rsi_oversold': 27, 'atr_stop_multiplier': 2.75, 'risk_reward_ratio': 1.75}",0.0,70
"{'fast_period': 10, 'slow_period': 22, 'rsi_period': 10, 'rsi_overbought': 67, 'rsi_oversold': 25, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 3.25}",0.0,71
"{'fast_period': 8, 'slow_period': 29, 'rsi_period': 19, 'rsi_overbought': 62, 'rsi_oversold': 25, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 2.0}",0.0,72
"{'fast_period': 12, 'slow_period': 46, 'rsi_period': 15, 'rsi_overbought': 74, 'rsi_oversold': 22, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 2.25}",0.0,73
"{'fast_period': 13, 'slow_period': 28, 'rsi_period': 10, 'rsi_overbought': 77, 'rsi_oversold': 24, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 2.5}",0.0,74
"{'fast_period': 15, 'slow_period': 31, 'rsi_period': 11, 'rsi_overbought': 80, 'rsi_oversold': 37, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 2.75}",0.0,75
"{'fast_period': 9, 'slow_period': 42, 'rsi_period': 15, 'rsi_overbought': 66, 'rsi_oversold': 21, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 2.75}",0.0,76
"{'fast_period': 14, 'slow_period': 32, 'rsi_period': 17, 'rsi_overbought': 75, 'rsi_oversold': 35, 'atr_stop_multiplier': 3.0, 'risk_reward_ratio': 1.75}",0.0,77
"{'fast_period': 8, 'slow_period': 40, 'rsi_period': 10, 'rsi_overbought': 73, 'rsi_oversold': 36, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 3.0}",0.0,78
"{'fast_period': 20, 'slow_period': 36, 'rsi_period': 11, 'rsi_overbought': 66, 'rsi_oversold': 36, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 3.25}",0.0,79
"{'fast_period': 16, 'slow_period': 35, 'rsi_period': 15, 'rsi_overbought': 70, 'rsi_oversold': 29, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 2.25}",0.0,80
"{'fast_period': 11, 'slow_period': 41, 'rsi_period': 15, 'rsi_overbought': 73, 'rsi_oversold': 35, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 2.75}",0.0,81
"{'fast_period': 9, 'slow_period': 43, 'rsi_period': 15, 'rsi_overbought': 75, 'rsi_oversold': 28, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 2.75}",0.0,82
"{'fast_period': 19, 'slow_period': 35, 'rsi_period': 20, 'rsi_overbought': 69, 'rsi_oversold': 28, 'atr_stop_multiplier': 3.0, 'risk_reward_ratio': 2.75}",0.0,83
"{'fast_period': 20, 'slow_period': 30, 'rsi_period': 19, 'rsi_overbought': 61, 'rsi_oversold': 21, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 2.0}",0.0,84
"{'fast_period': 18, 'slow_period': 44, 'rsi_period': 18, 'rsi_overbought': 64, 'rsi_oversold': 28, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 2.25}",0.0,85
"{'fast_period': 18, 'slow_period': 29, 'rsi_period': 18, 'rsi_overbought': 61, 'rsi_oversold': 39, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 2.0}",0.0,86
"{'fast_period': 12, 'slow_period': 41, 'rsi_period': 12, 'rsi_overbought': 73, 'rsi_oversold': 25, 'atr_stop_multiplier': 1.5, 'risk_reward_ratio': 3.25}",0.0,87
"{'fast_period': 10, 'slow_period': 40, 'rsi_period': 10, 'rsi_overbought': 73, 'rsi_oversold': 34, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 2.5}",0.0,88
"{'fast_period': 12, 'slow_period': 41, 'rsi_period': 18, 'rsi_overbought': 73, 'rsi_oversold': 28, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 1.75}",0.0,89
"{'fast_period': 7, 'slow_period': 22, 'rsi_period': 17, 'rsi_overbought': 79, 'rsi_oversold': 28, 'atr_stop_multiplier': 2.75, 'risk_reward_ratio': 2.75}",0.0,90
"{'fast_period': 6, 'slow_period': 24, 'rsi_period': 14, 'rsi_overbought': 73, 'rsi_oversold': 36, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 2.25}",0.0,91
"{'fast_period': 6, 'slow_period': 47, 'rsi_period': 10, 'rsi_overbought': 62, 'rsi_oversold': 27, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 3.5}",0.0,92
"{'fast_period': 10, 'slow_period': 22, 'rsi_period': 14, 'rsi_overbought': 80, 'rsi_oversold': 32, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 1.75}",0.0,93
"{'fast_period': 6, 'slow_period': 50, 'rsi_period': 13, 'rsi_overbought': 65, 'rsi_oversold': 34, 'atr_stop_multiplier': 1.5, 'risk_reward_ratio': 2.0}",0.0,94
"{'fast_period': 8, 'slow_period': 21, 'rsi_period': 17, 'rsi_overbought': 78, 'rsi_oversold': 24, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 3.0}",0.0,95
"{'fast_period': 16, 'slow_period': 30, 'rsi_period': 20, 'rsi_overbought': 69, 'rsi_oversold': 33, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 3.0}",0.0,96
"{'fast_period': 13, 'slow_period': 46, 'rsi_period': 14, 'rsi_overbought': 76, 'rsi_oversold': 32, 'atr_stop_multiplier': 1.5, 'risk_reward_ratio': 3.25}",0.0,97
"{'fast_period': 9, 'slow_period': 29, 'rsi_period': 19, 'rsi_overbought': 60, 'rsi_oversold': 35, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 3.0}",0.0,98
"{'fast_period': 12, 'slow_period': 37, 'rsi_period': 20, 'rsi_overbought': 60, 'rsi_oversold': 30, 'atr_stop_multiplier': 1.5, 'risk_reward_ratio': 3.5}",0.0,99
"{'fast_period': 16, 'slow_period': 33, 'rsi_period': 18, 'rsi_overbought': 65, 'rsi_oversold': 35, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 3.5}",0.0,100
"{'fast_period': 18, 'slow_period': 23, 'rsi_period': 17, 'rsi_overbought': 61, 'rsi_oversold': 27, 'atr_stop_multiplier': 3.0, 'risk_reward_ratio': 1.5}",0.0,101
"{'fast_period': 11, 'slow_period': 48, 'rsi_period': 11, 'rsi_overbought': 62, 'rsi_oversold': 34, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 3.25}",0.0,102
"{'fast_period': 14, 'slow_period': 37, 'rsi_period': 11, 'rsi_overbought': 73, 'rsi_oversold': 36, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 2.25}",0.0,103
"{'fast_period': 11, 'slow_period': 28, 'rsi_period': 18, 'rsi_overbought': 77, 'rsi_oversold': 36, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 2.0}",0.0,104
"{'fast_period': 18, 'slow_period': 20, 'rsi_period': 15, 'rsi_overbought': 68, 'rsi_oversold': 33, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 2.25}",0.0,105
"{'fast_period': 9, 'slow_period': 44, 'rsi_period': 12, 'rsi_overbought': 77, 'rsi_oversold': 21, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 1.75}",0.0,106
"{'fast_period': 8, 'slow_period': 37, 'rsi_period': 13, 'rsi_overbought': 78, 'rsi_oversold': 28, 'atr_stop_multiplier': 1.5, 'risk_reward_ratio': 2.25}",0.0,107
"{'fast_period': 17, 'slow_period': 23, 'rsi_period': 19, 'rsi_overbought': 63, 'rsi_oversold': 39, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 3.25}",0.0,108
"{'fast_period': 5, 'slow_period': 26, 'rsi_period': 16, 'rsi_overbought': 77, 'rsi_oversold': 30, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 3.25}",0.0,109
"{'fast_period': 12, 'slow_period': 27, 'rsi_period': 13, 'rsi_overbought': 72, 'rsi_oversold': 33, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 2.0}",0.0,110
"{'fast_period': 6, 'slow_period': 23, 'rsi_period': 20, 'rsi_overbought': 70, 'rsi_oversold': 34, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 1.75}",0.0,111
"{'fast_period': 6, 'slow_period': 26, 'rsi_period': 18, 'rsi_overbought': 66, 'rsi_oversold': 31, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 2.0}",0.0,112
"{'fast_period': 13, 'slow_period': 38, 'rsi_period': 14, 'rsi_overbought': 67, 'rsi_oversold': 27, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 2.0}",0.0,113
"{'fast_period': 12, 'slow_period': 25, 'rsi_period': 18, 'rsi_overbought': 80, 'rsi_oversold': 32, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 1.75}",0.0,114
"{'fast_period': 9, 'slow_period': 43, 'rsi_period': 11, 'rsi_overbought': 73, 'rsi_oversold': 24, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 1.75}",0.0,115
"{'fast_period': 16, 'slow_period': 22, 'rsi_period': 19, 'rsi_overbought': 64, 'rsi_oversold': 30, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 2.0}",0.0,116
"{'fast_period': 11, 'slow_period': 28, 'rsi_period': 17, 'rsi_overbought': 71, 'rsi_oversold': 24, 'atr_stop_multiplier': 2.75, 'risk_reward_ratio': 3.25}",0.0,117
"{'fast_period': 19, 'slow_period': 36, 'rsi_period': 11, 'rsi_overbought': 68, 'rsi_oversold': 25, 'atr_stop_multiplier': 1.5, 'risk_reward_ratio': 2.0}",0.0,118
"{'fast_period': 19, 'slow_period': 45, 'rsi_period': 12, 'rsi_overbought': 65, 'rsi_oversold': 31, 'atr_stop_multiplier': 2.75, 'risk_reward_ratio': 3.5}",0.0,119
"{'fast_period': 8, 'slow_period': 25, 'rsi_period': 13, 'rsi_overbought': 64, 'rsi_oversold': 37, 'atr_stop_multiplier': 2.75, 'risk_reward_ratio': 3.25}",0.0,120
"{'fast_period': 5, 'slow_period': 31, 'rsi_period': 14, 'rsi_overbought': 62, 'rsi_oversold': 38, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 2.5}",0.0,121
"{'fast_period': 12, 'slow_period': 33, 'rsi_period': 15, 'rsi_overbought': 72, 'rsi_oversold': 39, 'atr_stop_multiplier': 3.0, 'risk_reward_ratio': 3.0}",0.0,122
"{'fast_period': 7, 'slow_period': 48, 'rsi_period': 19, 'rsi_overbought': 76, 'rsi_oversold': 33, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 3.25}",0.0,123
"{'fast_period': 8, 'slow_period': 29, 'rsi_period': 18, 'rsi_overbought': 66, 'rsi_oversold': 23, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 2.75}",0.0,124
"{'fast_period': 16, 'slow_period': 29, 'rsi_period': 14, 'rsi_overbought': 65, 'rsi_oversold': 28, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 2.5}",0.0,125
"{'fast_period': 7, 'slow_period': 41, 'rsi_period': 12, 'rsi_overbought': 66, 'rsi_oversold': 30, 'atr_stop_multiplier': 2.75, 'risk_reward_ratio': 1.75}",0.0,126
"{'fast_period': 17, 'slow_period': 30, 'rsi_period': 15, 'rsi_overbought': 70, 'rsi_oversold': 29, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 1.5}",0.0,127
"{'fast_period': 14, 'slow_period': 33, 'rsi_period': 15, 'rsi_overbought': 75, 'rsi_oversold': 26, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 3.25}",0.0,128
"{'fast_period': 15, 'slow_period': 37, 'rsi_period': 11, 'rsi_overbought': 63, 'rsi_oversold': 38, 'atr_stop_multiplier': 1.5, 'risk_reward_ratio': 2.75}",0.0,129
"{'fast_period': 13, 'slow_period': 34, 'rsi_period': 14, 'rsi_overbought': 68, 'rsi_oversold': 22, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 1.75}",0.0,130
"{'fast_period': 6, 'slow_period': 46, 'rsi_period': 19, 'rsi_overbought': 73, 'rsi_oversold': 28, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 3.25}",0.0,131
"{'fast_period': 16, 'slow_period': 37, 'rsi_period': 14, 'rsi_overbought': 76, 'rsi_oversold': 31, 'atr_stop_multiplier': 1.5, 'risk_reward_ratio': 2.0}",0.0,132
"{'fast_period': 18, 'slow_period': 41, 'rsi_period': 13, 'rsi_overbought': 67, 'rsi_oversold': 25, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 1.75}",0.0,133
"{'fast_period': 12, 'slow_period': 49, 'rsi_period': 10, 'rsi_overbought': 69, 'rsi_oversold': 33, 'atr_stop_multiplier': 1.5, 'risk_reward_ratio': 3.5}",0.0,134
"{'fast_period': 20, 'slow_period': 49, 'rsi_period': 12, 'rsi_overbought': 64, 'rsi_oversold': 38, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 2.75}",0.0,135
"{'fast_period': 13, 'slow_period': 44, 'rsi_period': 10, 'rsi_overbought': 64, 'rsi_oversold': 33, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 2.0}",0.0,136
"{'fast_period': 11, 'slow_period': 45, 'rsi_period': 17, 'rsi_overbought': 79, 'rsi_oversold': 34, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 2.5}",0.0,137
"{'fast_period': 7, 'slow_period': 42, 'rsi_period': 17, 'rsi_overbought': 67, 'rsi_oversold': 36, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 2.0}",0.0,138
